StockCode,StockName
00563,SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED
00564,ZCZL INDUSTRIAL TECHNOLOGY GROUP COMPANY LIMITED
00565,ART GROUP HOLDINGS LIMITED
00567,JSMART TECHNOLOGIES GROUP LIMITED
00568,SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED
00570,CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED
00571,ESUN HOLDINGS LIMITED
00572,FUTURE WORLD HOLDINGS LIMITED
00573,TAO HEUNG HOLDINGS LIMITED
00574,PA SHUN INTERNATIONAL HOLDINGS LIMITED
00575,REGENT PACIFIC GROUP LIMITED
00576,"ZHEJIANG EXPRESSWAY CO., LTD."
00579,"BEIJING JINGNENG CLEAN ENERGY CO., LIMITED"
00580,SUN.KING TECHNOLOGY GROUP LIMITED
00581,CHINA ORIENTAL GROUP COMPANY LIMITED
00582,SHIN HWA WORLD LIMITED
00583,GREAT WALL PAN ASIA HOLDINGS LIMITED
00585,IMAGI INTERNATIONAL HOLDINGS LIMITED
00586,CHINA CONCH VENTURE HOLDINGS LIMITED
00587,CHINA CONCH ENVIRONMENT PROTECTION HOLDINGS LIMITED
00588,BEIJING NORTH STAR COMPANY LIMITED
00590,LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED
00591,CHINA HIGH PRECISION AUTOMATION GROUP LIMITED
00595,AV CONCEPT HOLDINGS LIMITED
00596,INSPUR DIGITAL ENTERPRISE TECHNOLOGY LIMITED
00598,SINOTRANS LIMITED
00599,E. BON HOLDINGS LIMITED
00600,"AXERA SEMICONDUCTOR CO., LTD."
00601,RARE EARTH MAGNESIUM TECHNOLOGY GROUP HOLDINGS LIMITED
00602,JIAHUA STORES HOLDINGS LIMITED
00603,CHINA OIL AND GAS GROUP LIMITED
00604,SHENZHEN INVESTMENT LIMITED
00605,CHINA FINANCIAL SERVICES HOLDINGS LIMITED
00606,SCE INTELLIGENT COMMERCIAL MANAGEMENT HOLDINGS LIMITED
00607,FULLSHARE HOLDINGS LIMITED
00608,HIGH FASHION INTERNATIONAL LIMITED
00609,TIANDE CHEMICAL HOLDINGS LIMITED
00610,WAI KEE HOLDINGS LIMITED
00611,CHINA NUCLEAR ENERGY TECHNOLOGY CORPORATION LIMITED
00612,CARMEN CENTURY INVESTMENT LIMITED
00613,PLANETREE INTERNATIONAL DEVELOPMENT LIMITED
00616,ASSET CHAIN LIMITED
00617,PALIBURG HOLDINGS LIMITED
00618,PEKING UNIVERSITY RESOURCES (HOLDINGS) COMPANY LIMITED
00619,SOUTH CHINA FINANCIAL HOLDINGS LIMITED
00620,DTXS SILK ROAD INVESTMENT HOLDINGS COMPANY LIMITED
00621,TAUNG GOLD INTERNATIONAL LIMITED
00622,OSHIDORI INTERNATIONAL HOLDINGS LIMITED
00623,SINOMEDIA HOLDING LIMITED
00626,PUBLIC FINANCIAL HOLDINGS LIMITED
00627,VISION SYNERGY HOLDINGS LIMITED
00628,TONG TONG AI SOCIAL GROUP LIMITED
00629,YUE DA INTERNATIONAL HOLDINGS LIMITED
00630,AMCO UNITED HOLDING LIMITED
00631,SANY HEAVY EQUIPMENT INTERNATIONAL HOLDINGS COMPANY LIMITED
00632,CHK OIL LIMITED
00635,PLAYMATES HOLDINGS LIMITED
00636,KLN LOGISTICS GROUP LIMITED
00637,LEE KEE HOLDINGS LIMITED
00638,FIBOCOM WIRELESS INC.
00639,SHOUGANG FUSHAN RESOURCES GROUP LIMITED
00640,INFINITY DEVELOPMENT HOLDINGS COMPANY LIMITED
00641,CHTC FONG'S INTERNATIONAL COMPANY LIMITED
00643,CARRY WEALTH HOLDINGS LIMITED
00645,ARES ASIA LIMITED
00646,CHINA ENVIRONMENTAL TECHNOLOGY HOLDINGS LIMITED
